  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 16.13     0.15      0.15     2232     0.07     0.33  Gem::Specification#initialize
 15.05     0.29      0.14        1   140.00   140.00  JSON::Ext::Parser#parse
  8.60     0.37      0.08      805     0.10     1.95  Array#each
  3.23     0.40      0.03      680     0.04     0.04  Array#flatten
  3.23     0.43      0.03     2348     0.01     0.09  Gem::Specification.each
  3.23     0.46      0.03      423     0.07     0.12  Gem::Version#initialize
  3.23     0.49      0.03      254     0.12     0.16  Gem::Version#<=>
  3.23     0.52      0.03     7160     0.00     0.00  Module#===
  2.15     0.54      0.02      418     0.05     0.41  nil#
  2.15     0.56      0.02     1799     0.01     0.01  Kernel#initialize_dup
  2.15     0.58      0.02       24     0.83     4.58  Kernel#gem_original_require
  2.15     0.60      0.02      412     0.05     0.19  JSON.generator=
  2.15     0.62      0.02       72     0.28     7.36  Kernel#eval
  2.15     0.64      0.02      255     0.08     0.51  Gem::Dependency#initialize
  2.15     0.66      0.02     1796     0.01     0.02  Kernel#dup
  2.15     0.68      0.02      355     0.06     0.20  Gem::Requirement.parse
  2.15     0.70      0.02      423     0.05     0.05  Gem::Version.correct?
  2.15     0.72      0.02      144     0.14     5.35  Gem::Specification.load
  1.08     0.73      0.01      857     0.01     0.01  Kernel#class
  1.08     0.74      0.01     1728     0.01     0.07  Gem::Dependency#matching_specs
  1.08     0.75      0.01       68     0.15     0.29  Time.utc
  1.08     0.76      0.01      341     0.03     0.32  Gem::Requirement.create
  1.08     0.77      0.01      484     0.02     0.02  Module#method_added
  1.08     0.78      0.01      136     0.07     0.07  Fixnum#divmod
  1.08     0.79      0.01      252     0.04     0.60  Gem::Specification#add_dependency_with_type
  1.08     0.80      0.01        8     1.25     6.25  Gem::Specification#activate_dependencies
  1.08     0.81      0.01     1104     0.01     0.72  Class#new
  1.08     0.82      0.01      696     0.01     0.26  Gem::Requirement#initialize
  1.08     0.83      0.01     3889     0.00     0.00  BasicObject#==
  1.08     0.84      0.01     1440     0.01     0.01  Gem::Specification#default_value
  1.08     0.85      0.01       44     0.23     0.23  Array#select
  1.08     0.86      0.01      116     0.09     0.17  Comparable#>=
  1.08     0.87      0.01      448     0.02     0.02  Kernel#respond_to?
  1.08     0.88      0.01     3889     0.00     0.01  Kernel#===
  1.08     0.89      0.01       68     0.15     0.15  Gem::Specification#authors=
  1.08     0.90      0.01       96     0.10     0.10  Gem::Specification#runtime_dependencies
  1.08     0.91      0.01      191     0.05     0.42  Array#map
  0.00     0.91      0.00        2     0.00     0.00  Fixnum#%
  0.00     0.91      0.00       81     0.00     0.00  Gem.default_dir
  0.00     0.91      0.00      242     0.00     0.00  File.join
  0.00     0.91      0.00       78     0.00     0.00  Gem::Specification.default_specifications_dir
  0.00     0.91      0.00        3     0.00     0.00  Dir.[]
  0.00     0.91      0.00      363     0.00     0.00  Kernel#untaint
  0.00     0.91      0.00      714     0.00     0.00  String#initialize_copy
  0.00     0.91      0.00      342     0.00     0.00  Array#uniq!
  0.00     0.91      0.00      341     0.00     0.00  Array#compact!
  0.00     0.91      0.00      502     0.00     0.00  File.file?
  0.00     0.91      0.00       73     0.00     0.00  IO.read
  0.00     0.91      0.00       72     0.00     0.00  Kernel#binding
  0.00     0.91      0.00     2586     0.00     0.00  Symbol#to_s
  0.00     0.91      0.00     2160     0.00     0.00  Kernel#instance_variable_set
  0.00     0.91      0.00      210     0.00     0.00  Symbol#==
  0.00     0.91      0.00      259     0.00     0.00  Fixnum#==
  0.00     0.91      0.00      255     0.00     0.00  Array#length
  0.00     0.91      0.00      257     0.00     0.00  Array#last
  0.00     0.91      0.00      865     0.00     0.00  Array#initialize_copy
  0.00     0.91      0.00       76     0.00     0.00  Hash#initialize_copy
  0.00     0.91      0.00      144     0.00     0.00  Kernel#initialize_copy
  0.00     0.91      0.00      392     0.00     0.00  Kernel#respond_to_missing?
  0.00     0.91      0.00        1     0.00     0.00  Kernel#kind_of?
  0.00     0.91      0.00        3     0.00     0.00  Module#attr_writer
